@relation Camera__468Negetive556Positive-weka.filters.unsupervised.attribute.NominalToString-C1

@attribute 'Got this yesterday and like it, had before. Just to note, PowerShot A2500 is an entry-level pocket camera which is very similar to PowerShot A2300: 16-megapixel 1/2.3\" sensor, DiGiC 4 processor, and 5x zoom 28mm wide angle lens, 2.7\" LCD. Even 720p HD video capabilities are the same.Pros:1. What really distinguishes it from its predecessor is Smart Auto Mode recognizing 32 shooting environments and adjusts settings for better quality. It automatically selects the best shooting settings for optimal quality based on the environmental factors (lightning I guess) to provide point\'n\'shoot simplicity.2. 16.0 Megapixels, with loads of resolution pictures are still clear. High resolution is also good for producing biggest printouts.3. 5x Optical Zoom is sufficient in most cases.4. DIGIC 4 Image Processor. Not as fast as DIGIC 5 though fast and powerful enough to give you advanced system options, provide quick-shoot with reliable performance and low battery consumption. As far as I know DIGIC 4 is currently Canon\'s most efficient processor for budget cameras. BTW it has some Eco mode, that is said to be providing even faster warm-up times and saves the standard battery, but I haven\'t tested it yet.5. Very lightweight, just put it into your pocket, can take it everywhere.6. Price tag - $99. You can\'t get any better camera for the price.Cons:1. Like A2300 it lacks optical image stabilization, though it\'s got digital image stabilization.2. 1/2.3\" sensor. Well, entry level CCD providing good pictures, not of a DSLR quality, that\'s all I can say.Summary:Sure this is not the best camera in the world. I definitely knew it when I bought the camera. BUT, I was pleasantly surprised with the quality of pictures I shot.If you\'re like me (not a pro) and looking for a budget point-and-shoot camera taking family photos and events, mostly shoot in daylight or good lighting, I\'d definitely recommend it, taking into account its price tag of $99 - just about right.' string
@attribute ' positive' {' positive',' negetive'}

@data
'The only qualm is that the on and off button is too easily turned on, by accidentally bumping it or in the act of putting the camera away. If the button had been recessed a bit...it would be better! Otherwise it\'s great!  Lightweight, intuitive, and great images. Recommended',' positive'
'Great gift for young enthusiasts.  Easy and fun to use.  They carry it with them and take pictures of everything.',' positive'
'I bought this for my 10-year-old daughter for Christmas.  Her first camera.  She spent most of the holiday taking pictures and video and having a great time.  The quality is good and the camera is easy to use.',' positive'
'its exactly what it says its for point and shoot Iove it its not professional level but.that\'s not what I wanted this for I was almost turned away by the negative comments but I\'m glad I made this purchase :) super thumbs up!',' positive'
'My mom loves this camera. She says it is very easy for her to use. It is also small and thin perfect for very tiny hands. This was an \'epic mommy\' gift so I\'m pleased as well since it makes her very happy.',' positive'
'This one is easy to use if one  reads the directions.  The zoom focus was in a different place than I expected and when I read the use of the camera, realized it is so easy to use!  Pictures are very clear!',' positive'
'IT CAME PACKAGED REALLY NICE AND TIDY. WORKS GREAT AND LOVED THE \"RED\" ONE! GOT THIS AS A GIFT BUT I WANT TO GET ONE FOR MYSELF NOW! NICE SIZE TOO.',' positive'
'i love this camera! it works well and takes very good quality photos and has made me wanna take more pictures!',' positive'
'This camera takes good pictures for the price.  Its a small cheap camera but does the job.  Its really good for someone who wants to point and shot, especially if your not familiar with all the functions of a more advanced camera.',' positive'
'Great camera.  My granddaughter loves it.  She is taking pictures all the time.  Pictures are clear and color is great.',' positive'
'This camera has met all of my expectations.  Great product for what I wanted to use it for.  I would definitely buy another.',' positive'
'He loves it. He couldn\'t beleive we got him a real camera. Even though he\'s only 7 years old, he has no problem operating it.',' positive'
'I bought it as a gift for my parents. It\'s really simple to use. If you want a good no frills camera, this is a good option.',' positive'
'I love this camera.  It is so easy to use that I didn\'t read the instructions.  It takes great pictures.  The zoom feature works very well.  Seems to keep a charge forever.  Connects to my laptop seamlessly making it easy to upload pictures to Facebook, print and send to family via snail mail or email.',' positive'
'It was just the camera for my needs...easy to learn and use.  I have needed and up graded camera for a long time and this one just fits my needs.  Glad I ordered it.',' positive'
'I love this camera. Lightweight, small, & easy to use and carry.  As far as I\'mconcerned, there is no negative attached to this product.  That\'s my story &I\'m sticking to it, LOL. Fall in love and get one yourself, you\'ll be glad you did.Ohhhhhh, one more thing, it\'s priced right too.',' positive'
'This digital canon camera is one of the best that I have experienced to date. It is user friendly and affordable. Amazon made it even more affordable by free shipping at the time.',' positive'
'I was not looking forward to upgrading my camera when I discovered the memory card was a dinosaur....but my husband gifted me this camera for Christmas and I love it!  I am totally happy with the quality of pictures it takes, the ease of use (I am a senior adult and love \"easy\"), and the size (small enough to fit in a small pocket).',' positive'
'Canon PowerShot A2500 16MP Digital Camera (Silver) excellent, my friends love the camera and are interesting in buying one for the price',' positive'
'So far the camera exceeds my expectations. This small camera fits into a pocket easily and takes excellent pictures, all for a modest price.',' positive'
'This is a great little camera and easy to put in your pocket and carry with. Bought as a present and bought one for myself.',' positive'
'this would be great for a smart student or adultbut for me ,i,m 65 & not good at it !!',' positive'
'The grandsons were so happy to receive these for Christmas I am sure they are getting great shots and they will enjoy this camera for years to come',' positive'
'My Canon camera is perfect for me. It\'s small size packs a powerful punch. I\'ve recorded videos and taken photos with ease. The pretty red color is stand out. I love it.',' positive'
'Just opened it today, and was not disappointed. It\'s a good point and shoot camera, with clear pictures and video. Bought it to take with on trips I go on, and for concerts I go to. If you\'re not looking for anything that\'s real fancy, I suggest buying this. It\'s very user friendly and I\'m pleased with it.',' positive'
'Easy to use and takes excellent shots Just a awesome little camera....love it.......easy to carry like a pack of smokes.i do not smoke anymore.',' positive'
'I had a point and click camera for years and it finally died.  I researched and found that this Canon camera was very well rated.  When I got it home, it was ready right out of the box.  The pictures turned out great on the auto setting.  I haven\'t had an opportunity to take time to get to know it yet, but am very pleased so far.',' positive'
'I LOVE MY NEW CAMERA.........GREAT Pictures and the ease of carrying it in my pocket or purse!  I LOVE IT!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!',' positive'
'Great for kids and adultsEasy to use and the pictures are clear. Puts out a good product. Highly recommended',' positive'
'Purchased this camera to replace an old Kodak I had that broke down after about 5 years. This camera is great for the price and is compact which makes it easy to slip in your pocket and snap a few shots when needed. I highly recommend it.',' positive'
'Bought this as a Christmas present for my husband - now wish I had one for myself.  Small camera with big picture ability.',' positive'
'The A2500 Canon PowerShot is a great camera for the price.  Some of the previous reviews caused me second thoughts, but the camera exceeded my expectations and has worked well.  The third party higher capacity battery 2-pack is really required and I have yet to recharge the first of the two after two weeks and over a hundred pix!',' positive'
'Easy to use ,works really good for the price nice small item that takes great pitchers. Less hassles than a more expensive camera.',' positive'
'It is worth of money. Grabbed in thanksgiving deal and worth it. A good handy camera to capture quick photos.',' positive'
'I love this camera first of all the color red, takes good pictures and videos and it is easy to use.  I would recommend this for amature photographers',' positive'
'I bought this for my 12 year old daughter and she loves it!  It\'s very easy to use and the pictures turn out great!  The pictures are also easily loaded to your PC and I would recommend this to anyone looking for an inexpensive, quality camera.',' positive'
'I put in an 8gb SD card and set the exposures to medium giving me over 1900 pictures or about 48HOURS of video. I don\'t know about battery life yet. The only con is that it didn\'t come with an SD card, seemed kinda cheesy that they would market this camera without one. Set this to the smallest picture size and you get, wait for it, OVER 9000 pictures!',' positive'
'Super huge fan of Canon. My children will be going on their first cruise this year and I thought it would be nice to get them each their own cameras to make the trip even more fun. I haven\'t messed around with it too much yet but it was brought for a 4 year old so I only needed a basic camera',' positive'
'I looked at every review and watched the video several times before purchasing. I needed a new camera and I wanted something that was super easy to use and nice and compact, this is really nice!!!!!I love it and it takes great pictures and videos. I mainly use it for my two grandchildren, and the pictures come out great. The only thing is I wish it came with a carrying case, otherwise it is a fabulous camera. I am glad I purchased it!!!!!!!!!',' positive'
'The camera works well it is nice and compact. I bought it for my wife and she wanted something small she could put into her purse, worked out well.',' positive'
'IF you\'re like a professional or a very fussy picture taker spend another few hundred dollars.  But for the average picture takes this camera was just the right price and takes great pictures.',' positive'
'The camera takes great pictures and is a nice size a must have its great for kids and adults who just want to have fun.',' positive'
'Bought this as a Christmas present for someone and it arrived promptly. The opened it and it is so sleek and modern. They had an older Canon and this new one is great! Take great pictures and easy to use. Extremely happy with this purchase.',' positive'
'I got this camera as my old Powershot broke and I needed to replace it. This one is better. I love the fact it is lightweight and slimmer than my old one. I think it takes better pictures than the old camera. I also love the improved feature of just hitting a button to go into movie mode. So for the money it is a great deal and I am really enjoying taking pictures with this camera.',' positive'
'I\'m not much of a photographer.  I like to take pictures once in a while, and I want them to turn out well when I do.  I had a much more advanced digital camera for several years, and I could never quite get the hang of it.  Too many settings and options for me.This arrived earlier today, and the battery charged very quickly using the included charger.  I was able to use the camera immediately, and the photo quality was really quite good.  I took pictures in some different lighting, including one right in front of a window, and they all looked great.This might not be a camera for everyone, but it\'s perfect for what I wanted.',' positive'
'I needed a small little camera to carry around in my pocket and this camera filled the bill just right.  I wasn\'t expecting the same quality that my DSLR gives me, but I have to say I\'m impressed so far with the stills and movies I\'ve taken so far.  For those of you that seem to have problems getting good results I have to say you need to read the manual before blaming the camera.**update 3/5/14:I think all this type camera would have this problem, but I experienced huge LCD washout on outside shots even with the display brightness turned all the way up.  It was so bad that even on a cloudy day (snow on the ground which I know doesn\'t help) I had problems seeing the picture I was about to take.  When I reviewed the photos inside they turned out fine.  But I couldn\'t see well enough to frame the picture they way I would want.I didn\'t change from my 5 star rating because, like I said, I think all these cameras would have the same problem.',' positive'
'ok 1st but for most you need a sd card  i wish  theses kind of cameras would come with one maybe 4 gb one im not picky lol  its so tiny but so  good  seting not hard to set up at all  my dog zozo seemed to love the flash haha',' positive'
'For such a small, lightweight camera the A2500 does a great job, at least on indoor snaps.  Haven\'t tried it outdoors yet.',' positive'
'I have had nothing but fun with this little camera it\'s capabilities are top notch for it\'s price range! I\'ve shot both stills and video to great effect I would suggest getting a large SD card because your going to want to take this with you everywhere!',' positive'
'I bought this as a gift for my mother who was having a hard time with her older camera. The interface was easy to use. Picture quality is good for a consumer camera. She was able to quickly figure out how to use it and easily upload photos to her computer using the SD card. There is no need for a cable with this camera, and no software to upload. There is a large screen on the back which is really convenient.',' positive'
'Fantastic Service and Delivery.Thank you very much, I loved using it and it was easy, already have tons of pictures of my grandson',' positive'
'My husband loves this cannon camera, clear and concise pictures were taken, fast shuttle speed. With this Sixteen megapixel, we are impressed.',' positive'
'It does what it says. works easy and takes very good pics, even with my shaky hands. Good battery life.',' positive'
'It arrived prior to Christmas and my son is very happy with it.  He would recommend this camera to others.',' positive'
'I bought this for a gift and for the price this camera is great! It has different settings for color and wide angle to a fish-eye lense.  Getting to the lenses and different color features is easy enough for a kid or an elderly adult to use. The pictures look great and for the money this was a great choice.',' positive'
'I bought this camera because of the 1) price and 2) ratings.  Top notch.  Small, light, full-function and easy to use.  Oh, and it takes great pictures, too.  This thing will fit right in your pocket and weighs a little less than my iPhone.  Good buy.',' positive'
'easy to use, great pics. light. i love that it comes with its own rechargeable battery-save money on batteries. works with regular SD card-which is good for those of us who have cheaper cameras and are upgrading.',' positive'
'Our granddaughter really likes this camera and she will enjoy it for years to come. We are happy with the purchase.',' positive'
'The camera is easy to use and handy to carry.  produces excellant quality.  Very versatile and far more capable than meets the eye.  More fun than my Rebel.',' positive'
'I love it because it fits in my pocket for purse.  I took it with me to Mexico and was happy with the pictures.',' positive'
'Received the camera in a timely manner as promised.  Set up was simple, the camera is simple to use, and the photos are extremely clear compared to my old Fuji 3.2 MP camera.  The zoom also goes way higher than the specs indicate.  Overall, I am very pleased with this camera.',' positive'
'Small and easy to use. Exactly what we we\'re looking for. Price was excellent for a quality point and shoot',' positive'
'The battery in My Nikon Coolpix Camera will not hold a charge so I decided it was time to get another camera.  This camera was given a decent rating by Consumer Reports so I bought it.  I also purchased the case from the Canon website as they don\'t offer it on Amazon.',' positive'
'Easy to use, fast to set up, compact, couldn\'t be happier.  BTW, you can load the pics using just the flash memory card (I bought the SanDisk Ultra 16 GB)  I was worried I wouldn\'t be able to load the pics to the computer without the (not included) UCB cord.  The software tells you it \"needs\" the cord to select the right and appropriate yada yada...but that is not true because if you put the memory card into the computer the pictures load.',' positive'
'It works. It looked cheap to me at first, but the camera is actually really good. Not broken and it\'s small so it doesn\'t take up a lot of space.',' positive'
'the price goes up and down, you should be able to find this for LESS then I paid in Jan 2014!  Great camera for normal use, buy a 8 gb card, and a usb cord to plug in if your using a desktop.',' positive'
'I bought this camera for a friend and it turned out to be a very appreciated gift.  The product is just the right size and is quite intuitive to operate.',' positive'
'We gave as a Christmas gift to our grandson. He loves it. He likes that it takes good photos and also videos.',' positive'
'Light and easy to use, this camera is exactly what my 12 year old needed.  She likes to take pictures on the macro setting and the details are amazing!',' positive'
'long battery life and it\'s a small solid camerabest of all setting it up with 16 gig memory card the wife just clicks away',' positive'
'Very  much portable, over all a good product. Features are good and easy to operate. I liked the product. Worth Buying',' positive'
'I got this for my wife for Christmas and she is well pleased with it. It is small enough to fit in her handbag.',' positive'
'A few months ago I purchased this Camera,I love it .Recently I lost the camera ,and could not wait to order a replacement for it.The camera is compact and takes beautiful clear pictures.Thanks Amazon  Lucky Mary',' positive'
'Love this camera, it works as expected. It arrived on time. I have no problems with. I also purchased a warranty because my last camera like this, I took to the beach and the lens got stuck with sand. i do not recommend taking this to the beach without its case. Lesson learned',' positive'
'My husband requested this for Christmas. Not only did I not have to pay full price, it was exactly what he wanted, model-wise.  Now that he\'s used it, he\'s delighted with the quality of photos & ease of use. Wish buying all of his gifts was this easy!',' positive'
'I recomend it excelent camera an accesories the charge of battery is long life, I recomend it excelent camera an accesories the charge of battery is long life',' positive'
'Great Camera for my daughter. Awesome pictures and easy to use for a great price. Good size screen and light weight. Shipped fast.',' positive'
'I bought the camera as a gift. I didn\'t have a lot of money to spend on it so I had to find a good camera that didn\'t break my budget. This camera is small, takes great pictures, and really is just as good as some cameras at a higher price. I think it\'s a great camera, so in my opinion it is worth the price.',' positive'
'this was a gift..and she loved it. began using it immediately. Easy to use and great shots of her cats.',' positive'
'The Canon Powershot A 2500 is a beautiful camera. This is a camera practical and the simple manipulation. Take a picture is very easy',' positive'
'I just got this camera, and ordered it based on the rave reviews at Amazon. They were right as far as I can see. For a moderate price, this camera has a large viewing screen. It does not require batteries because it has a rechargeable one. It has a good zoom lens. It is small and easy to carry. It is far superior to my old Polaroid digital camera, which took good pictures, so I expect this one will too.',' positive'
'It was a hit with granddaughter that received it, so far works well and was a good price.  She loves it!',' positive'
'I gave this as a gift for Christmas.  The size is perfect and it takes great photos.  You really can\'t go wrong with a Canon product.',' positive'
'Some time ago I was looking for a product with the features it gives me this camera, compact size, good number of megapixels, and photos and videos are incredible! ... 100\% recommended',' positive'
'Awesome point and shoot camera! Love Canon, love this camera, got it to have an easy, light camera to use when I was on vacation in hawaii and not disapointed in this purchase!',' positive'
'I love this new Canon Camera ! It costed me 10 times less than my Canon Camera that I bought over 4 years ago which lasted that long. This new Camera has most of the important features in it that my old camera had. The features that it lacks I really won\'t miss too much. A few of the features that it has were not listed in the description so I feel I got a better deal than I expected. I\'m more than happy with this purchase. I\'d recommend this camera to anyone who is looking for a good one and is confused about which one to get because there is a lot of different cameras to choose from. Thanks !',' positive'
'I bought this for my 14 year old, so he would stop borrowing mine.  It\'s a great camera, easy to learn to use, takes good pictures and  wasn\'t too expensive.',' positive'
'Our granddaughter is thrilled with this camera.  She has been posing and having someone take pictures of her.Her camera is a neat, small camera and good for anyone who doesn\'t want lots of bells and whistles to confuse them.',' positive'
'perfect all good, wiyhout problems i love. i like, it is perfect to me and for my work, it is small and powerfull',' positive'
'I saw this camera on sale at the store I worked at. Decided to check price on amazon.com. Not only was it about 10 dollars cheaper, it came with free sd card and carrying case. I bought it right away. It was a christmas present for my mother. She loves it, she takes pictures all the time! Long battery life, good pixel quality, nothing wrong with it so far. Would recommend this to everyone.',' positive'
'very good product photos are great, I recommend itif someone could be of more megapixels would be great thk',' positive'
'THE GRANDSON HAS SPENT A WHOLE DAY IN THE BUTTERFLY GARDENS AT THE SCIENCE MUSUEM, HAS TAKEN MANY VERY GOOD,  HIGH QUALITY PHOTOSDR',' positive'
'I am very happy with the camera - I believe it is an excellence value for the cost. I bought both the SanDisk Ultra 16 GB and the SanDisk Extreme 32 GB Memory Cards with the camera along with the USB 2.0 Cable Cord and am very happy with the entire setup.',' positive'
