@relation Top26Cat_300To900FromEachCat-weka.filters.unsupervised.attribute.NominalToString-C1

@attribute 'Education is the most powerful weapon which you can use to change the world.' string
@attribute ' Education' {' Education',' Health',' Money',' Beauty',' Dreams',' War',' Art',' Home',' Happiness',' Success',' Change',' Nature',' Truth',' Power',' Time',' Love',' God',' Life',' Courage',' Friendship',' Freedom',' Wisdom',' Smile',' Morning',' Alone'}

@data
'There is an alternative to war. It has been with us forever.',' War'
'Nothing is more useless in developing a nation\'s economy than a gun, and nothing blocks the road to social development more than the financial burden of war. War is the arch enemy of national progress and the modern scourge of civilized men.',' War'
'No man has the right to use the great powers of the Presidency to lead the people, indirectly, into war.',' War'
'Up until the War of the Roses there had been continual conflict in England.',' War'
'War is grounded in the notion of triumph and defeat. It is zero-sum.',' War'
'The argument that someone is a bad man is an inadequate argument for war and certainly an inadequate and unacceptable argument for regime change.',' War'
'I think the majority of the British people are still sanguine about the need for war.',' War'
'The question is: how bad do things have to get before you will do something about it? Where is your line in the sand? If you don\'t enforce the constitutional limitations on your government very soon, you are likely to find out what World War III will be like.',' War'
'The Sandinista government became consumed with fighting a war of survival. They were up against the biggest superpower in the world.',' War'
'You know, this is a war of ideology, a war of thoughts and of faith. And we need people to really stand for faith and trust, not hope and change.',' War'
'The supreme art of war is to subdue the enemy without fighting.',' War'
'There is always inequality in life. Some men are killed in a war and some men are wounded and some men never leave the country. Life is unfair.',' War'
'History teaches that war begins when governments believe the price of aggression is cheap.',' War'
'Telling us to obey instinct is like telling us to obey \'people.\' People say different things: so do instincts. Our instincts are at war... Each instinct, if you listen to it, will claim to be gratified at the expense of the rest.',' War'
'Morality is contraband in war.',' War'
'We prefer world law in the age of self-determination to world war in the age of mass extermination.',' War'
'War is God\'s way of teaching Americans geography.',' War'
'Let the word go forth from this time and place, to friend and foe alike, that the torch has been passed to a new generation of Americans - born in this century, tempered by war, disciplined by a hard and bitter peace.',' War'
'The world knows that America will never start a war. This generation of Americans has had enough of war and hate... we want to build a world of peace where the weak are secure and the strong are just.',' War'
'The soldier above all others prays for peace, for it is the soldier who must suffer and bear the deepest wounds and scars of war.',' War'
'If we desire to avoid insult, we must be able to repel it; if we desire to secure peace, one of the most powerful instruments of our rising prosperity, it must be known, that we are at all times ready for War.',' War'
'Unconditional war can no longer lead to unconditional victory. It can no longer serve to settle disputes... can no longer be of concern to great powers alone.',' War'
'Victorious warriors win first and then go to war, while defeated warriors go to war first and then seek to win.',' War'
'To be prepared for war is one of the most effective means of preserving peace.',' War'
'You say it is the good cause that hallows even war? I say unto you: it is the good war that hallows any cause.',' War'
'An Atheist believes that a hospital should be built instead of a church. An atheist believes that deed must be done instead of prayer said. An atheist strives for involvement in life and not escape into death. He wants disease conquered, poverty vanished, war eliminated.',' War'
'I hate war as only a soldier who has lived it can, only as one who has seen its brutality, its futility, its stupidity.',' War'
'My first wish is to see this plague of mankind, war, banished from the earth.',' War'
'War has always been the grand sagacity of every spirit which has grown too inward and too profound; its curative power lies even in the wounds one receives.',' War'
'Part of what I loved - and love - about being around older people is the tangible sense of history they embody. I\'m interested in military history, for instance, because both my grandfathers fought in World War II. I\'m interested in writing because one of those grandfathers wrote books.',' War'
'The fact is that America has been at her most prosperous when government and the private sector have been not at war, but in a wary, if often underplayed, alliance. History is unmistakable on this point.',' War'
'Here is a pretty good rule of thumb for Democratic Presidents: if it didn\'t work for Franklin D. Roosevelt, who won four terms and a World War, it probably won\'t work for you either.',' War'
'I think as an American society, when we\'re paying too many taxes or dealing with war, we don\'t want to see sad things at the movies.',' War'
'There is peace more destructive of the manhood of living man than war is destructive of his material body.',' War'
'Politicians, like generals, have a tendency to fight the last war.',' War'
'People say you favor assassination, what do you think war is? Except that it\'s assassination on a much larger scale, a much more horrific scale.',' War'
'Men and women who know the brutal reality of war, who know that war strips people of their very humanity, must unite in a new global partnership for peace.',' War'
'In times of conflict, war, poverty or religious fundamentalism, women and children are the first and most numerous victims. Women need all their courage today.',' War'
'When I was growing up, it was \'Communists\'. Now it\'s \'Terrorists\'. So you always have to have somebody to fight and be afraid of, so the war machine can build more bombs, guns, and bullets and everything.',' War'
'Music is a weapon in the war against unhappiness.',' War'
'The modern assault on the environment began about 50 years ago, during and immediately after World War II.',' War'
'World War II had a very important impact on the development of technology, as a whole.',' War'
'I\'m sure it is, I\'m not for any kind of war, we\'ve been engaged in several wars since the second world war and we lost in Korea, we lost in Vietnam, they are political wars, they have nothing to do with any real threat, nor does this one.',' War'
'I get offered a World War II movie at least once a week just because I speak German and was born there. I have always stayed away from it because I didn\'t want to be put into that box.',' War'
'Berlin is still going through a transition since the Cold War - both in what used to be East and West Berlin. I can still sense the confusion and the struggle for identity there in the streets. There\'s a pulse to it.',' War'
'In war, whichever side may call itself the victor, there are no winners, but all are losers.',' War'
'They have called Operation Iraqi Freedom a war of choice that isn\'t part of the real war on terror. Someone should tell that to al Qaeda.',' War'
'I\'m actually reading \'World War Z\' again! It\'s incredibly realistic and it\'s written as an oral history through interviews with different characters. Max Brooks wrote this book in so many different voices. There are about forty or so. It\'s incredible. When I finish \'World War Z\' I\'m going to go back and start again on the \'Game of Thrones\' series.',' War'
'The critical importance of honest journalism and a free flowing, respectful national conversation needs to be had in our country. But it is being buried as collateral damage in a war whose battles include political correctness and ideological orthodoxy.',' War'
'Baseball is only a game, a game of inches and a lot of luck. During a time of all-out war, sports are very insignificant.',' War'
'Capitalism is war; socialism is peace.',' War'
'War is by no means something glamorous, and I don\'t think that should ever be forgotten.',' War'
'As you may recall, Truman was extremely unpopular when he finally left Washington in 1953, thanks largely to the Korean War. Today, however, he is thought to have been a solidly good president, a \'Near Great\' even, in the terminology of those surveys of historians they do every now and then.',' War'
'I feel like war should occur only for the most vital and necessary reasons, and only then.',' War'
'I think the record speaks for itself. These are two individuals who have been for the war when the headlines were good and against it when their poll ratings were bad.',' War'
'I think that horror films have a very direct relationship to the time in which they\'re made. The films that really strike a film with the public are very often reflecting something that everyone, consciously or unconsciously feeling - atomic age, post 9-11, post Iraq war; it\'s hard to predict what people are going to be afraid of.',' War'
'I am still profoundly troubled by the war in Nicaragua. The United States launched a covert war against another nation in violation of international law, a war that was wrong and immoral.',' War'
'It\'s very important to go back and keep in mind the distinction between handling these events as criminal acts, which was the way we did before 9/11, and then looking at 9/11 and saying, \'This is not a criminal act,\' not when you destroy 16 acres of Manhattan, kill 3,000 Americans, blow a big hole in the Pentagon. That\'s an act of war.',' War'
'I think that NATO is itself a war criminal.',' War'
'From our perspective, trying to deal with this continuing campaign of terror, if you will, the war on terror that we\'re engaged in, this is a continuing enterprise. The people that were involved in some of those activities before 9/11 are still out there.',' War'
'I was brought up in the War. I was an adolescent in the Second World War. And I did witness in London a great deal of the Blitz.',' War'
'Priorities like winning the War on Terror and providing tax relief that will keep our economy growing strong.',' War'
'Religion often is misused for purely power-political goals, including war.',' War'
'I remember eating in school in the years after the Second World War. Most of my friends had miserable portions of Spam with an inedible, glutinous pudding served in containers we called \'coffins.\' As a vegetarian, I had a lump of loathsome cheese and some bread.',' War'
'Britain, which in the years immediately before this war was rapidly losing such democratic virtues as it possessed, is now being bombed and burned into democracy.',' War'
'World War II has always been of great interest to me. I\'ve known for decades that it was just one more war the politicians suckered us into.',' War'
'Against the beautiful and the clever and the successful, one can wage a pitiless war, but not against the unattractive: then the millstone weighs on the breast.',' War'
'If you want to go anywhere in modern war, in the air, on the sea, on the land, you must have command of the air.',' War'
'It is inhuman to continue a war which could easily be ended.',' War'
'Winston Churchill aroused this nation in heroic fashion to save civilisation in World War Two. We have everything we need except political will, but political will is a renewable resource.',' War'
'If women had never been given the right to vote, then Labour would have won every election after the war.',' War'
'We live in the time where we have fictitious election results that elects a fictitious president. We live in a time where we have a man sending us to war for fictitious reasons.',' War'
'In every war zone that I\'ve been in, there has been a reality and then there has been the public perception of why the war was being fought. In every crisis, the issues have been far more complex than the public has been allowed to know.',' War'
'Councils of war breed timidity and defeatism.',' War'
'I have a scheme for stopping war. It\'s this - no nation is allowed to enter a war till they have paid for the last one.',' War'
'Going to war without France is like going hunting without an accordion.',' War'
'War - An act of violence whose object is to constrain the enemy, to accomplish our will.',' War'
'The constitution vests the power of declaring war in Congress; therefore no offensive expedition of importance can be undertaken until after they shall have deliberated upon the subject and authorized such a measure.',' War'
'The British soldier can stand up to anything except the British War Office.',' War'
'We used to wonder where war lived, what it was that made it so vile. And now we realize that we know where it lives... inside ourselves.',' War'
'I started to make a study of the art of war and revolution and, whilst abroad, underwent a course in military training. If there was to be guerrilla warfare, I wanted to be able to stand and fight with my people and to share the hazards of war with them.',' War'
'Only the dead have seen the end of war.',' War'
'The myth of unlimited production brings war in its train as inevitably as clouds announce a storm.',' War'
'War against a foreign country only happens when the moneyed classes think they are going to profit from it.',' War'
'The United States is not, and never will be, at war with Islam.',' War'
'In the practical art of war, the best thing of all is to take the enemy\'s country whole and intact; to shatter and destroy it is not so good.',' War'
'Sometimes by losing a battle you find a new way to win the war.',' War'
'If there is not the war, you don\'t get the great general; if there is not a great occasion, you don\'t get a great statesman; if Lincoln had lived in a time of peace, no one would have known his name.',' War'
'When the tyrant has disposed of foreign enemies by conquest or treaty, and there is nothing more to fear from them, then he is always stirring up some war or other, in order that the people may require a leader.',' War'
'A democracy which makes or even effectively prepares for modern, scientific war must necessarily cease to be democratic. No country can be really well prepared for modern war unless it is governed by a tyrant, at the head of a highly trained and perfectly obedient bureaucracy.',' War'
'Four years ago, I promised to end the war in Iraq. We did. I promised to refocus on the terrorists who actually attacked us on 9/11. We have. We\'ve blunted the Taliban\'s momentum in Afghanistan, and in 2014, our longest war will be over. A new tower rises above the New York skyline, al Qaeda is on the path to defeat, and Osama bin Laden is dead.',' War'
'All war is based on deception.',' War'
'Once we have a war there is only one thing to do. It must be won. For defeat brings worse things than any that can ever happen in war.',' War'
'Thus, what is of supreme importance in war is to attack the enemy\'s strategy.',' War'
'To hold a pen is to be at war.',' War'
'Americans play to win at all times. I wouldn\'t give a hoot and hell for a man who lost and laughed. That\'s why Americans have never lost nor ever lose a war.',' War'
'True art is characterized by an irresistible urge in the creative artist.',' Art'
'If you hear a voice within you say \'you cannot paint,\' then by all means paint, and that voice will be silenced.',' Art'
'The highest art is always the most religious, and the greatest artist is always a devout person.',' Art'
'The purpose of art is washing the dust of daily life off our souls.',' Art'
'A work of art is the unique result of a unique temperament.',' Art'
'The aim of art is to represent not the outward appearance of things, but their inward significance.',' Art'
'No great artist ever sees things as they really are. If he did, he would cease to be an artist.',' Art'
'Without tradition, art is a flock of sheep without a shepherd. Without innovation, it is a corpse.',' Art'
'Art is the most intense mode of individualism that the world has known.',' Art'
'The essence of all beautiful art, all great art, is gratitude.',' Art'
'Life imitates art far more than art imitates Life.',' Art'
'Every artist was first an amateur.',' Art'
'Art enables us to find ourselves and lose ourselves at the same time.',' Art'
'Art is a step from what is obvious and well-known toward what is arcane and concealed.',' Art'
'In art, the hand can never execute anything higher than the heart can imagine.',' Art'
'A guilty conscience needs to confess. A work of art is a confession.',' Art'
'This world is but a canvas to our imagination.',' Art'
'An artist is not paid for his labor but for his vision.',' Art'
'We have art in order not to die of the truth.',' Art'
'A picture is worth a thousand words.',' Art'
'Creativity is allowing yourself to make mistakes. Art is knowing which ones to keep.',' Art'
'Pictures must not be too picturesque.',' Art'
'Art is the proper task of life.',' Art'
'If you do not breathe through writing, if you do not cry out in writing, or sing in writing, then don\'t write, because our culture has no use for it.',' Art'
'Art is the only way to run away without leaving home.',' Art'
'An artist is always alone - if he is an artist. No, what the artist needs is loneliness.',' Art'
'Without art, the crudeness of reality would make the world unbearable.',' Art'
'Drawing is the honesty of the art. There is no possibility of cheating. It is either good or bad.',' Art'
'You don\'t take a photograph, you make it.',' Art'
'Art is not a thing; it is a way.',' Art'
'Without freedom, no art; art lives only on the restraints it imposes on itself, and dies of all others.',' Art'
'Every artist dips his brush in his own soul, and paints his own nature into his pictures.',' Art'
'The beginning is the most important part of the work.',' Art'
'Vision is the art of seeing what is invisible to others.',' Art'
'The sculptor produces the beautiful statue by chipping away such parts of the marble block as are not needed - it is a process of elimination.',' Art'
'A picture is a poem without words.',' Art'
'I found I could say things with color and shapes that I couldn\'t say any other way - things I had no words for.',' Art'
'An artist is somebody who produces things that people don\'t need to have.',' Art'
'A man paints with his brains and not with his hands.',' Art'
'The artist is a receptacle for emotions that come from all over the place: from the sky, from the earth, from a scrap of paper, from a passing shape, from a spider\'s web.',' Art'
'Personality is everything in art and poetry.',' Art'
'Some painters transform the sun into a yellow spot, others transform a yellow spot into the sun.',' Art'
'A good painting to me has always been like a friend. It keeps me company, comforts and inspires.',' Art'
'Lying in bed would be an altogether perfect and supreme experience if only one had a colored pencil long enough to draw on the ceiling.',' Art'
'An artist cannot fail; it is a success to be one.',' Art'
'The mediator of the inexpressible is the work of art.',' Art'
'Painting is easy when you don\'t know how, but very difficult when you do.',' Art'
'In art the best is good enough.',' Art'
'Painting is just another way of keeping a diary.',' Art'
'In art as in love, instinct is enough.',' Art'
'The essence of all art is to have pleasure in giving pleasure.',' Art'
'Art is a collaboration between God and the artist, and the less the artist does the better.',' Art'
'Painting, n.: The art of protecting flat surfaces from the weather, and exposing them to the critic.',' Art'
'Art, like morality, consists in drawing the line somewhere.',' Art'
'Every human is an artist. The dream of your life is to make beautiful art.',' Art'
'I\'m afraid that if you look at a thing long enough, it loses all of its meaning.',' Art'
'Painting is an infinitely minute part of my personality.',' Art'
'The true work of art is but a shadow of the divine perfection.',' Art'
'Ads are the cave art of the twentieth century.',' Art'
'An artist never really finishes his work, he merely abandons it.',' Art'
'All art is but imitation of nature.',' Art'
'If we could but paint with the hand what we see with the eye.',' Art'
'Very few people possess true artistic ability. It is therefore both unseemly and unproductive to irritate the situation by making an effort. If you have a burning, restless urge to write or paint, simply eat something sweet and the feeling will pass.',' Art'
'Art is not a study of positive reality, it is the seeking for ideal truth.',' Art'
'The art of art, the glory of expression and the sunshine of the light of letters, is simplicity.',' Art'
'Every production of an artist should be the expression of an adventure of his soul.',' Art'
'There is nothing worse than a sharp image of a fuzzy concept.',' Art'
'I don\'t want to be interesting. I want to be good.',' Art'
'An artist is a dreamer consenting to dream of the actual world.',' Art'
'Fine art is that in which the hand, the head, and the heart of man go together.',' Art'
'Photography takes an instant out of time, altering life by holding it still.',' Art'
'Not everybody trusts paintings but people believe photographs.',' Art'
'A writer should write with his eyes and a painter paint with his ears.',' Art'
'Art consists of limitation. The most beautiful part of every picture is the frame.',' Art'
'Treat a work of art like a prince. Let it speak to you first.',' Art'
'For me, pointing and clicking my phone is absolutely fine. People say that isn\'t the art of photography but I don\'t agree.',' Art'
'Art flourishes where there is a sense of adventure.',' Art'
'Art always opts for the individual, the concrete; art is not Platonic.',' Art'
'Art is the imposing of a pattern on experience, and our aesthetic enjoyment is recognition of the pattern.',' Art'
'The art of letters will come to an end before A.D. 2000. I shall survive as a curiosity.',' Art'
'The art of progress is to preserve order amid change and to preserve change amid order.',' Art'
'If a patron buys from an artist who needs money, the patron then makes himself equal to the artist; he is building art into the world; he creates.',' Art'
'Gloom and solemnity are entirely out of place in even the most rigorous study of an art originally intended to make glad the heart of man.',' Art'
'Religion, oh, just another of those numerous failures resulting from an attempt to popularize art.',' Art'
'In fact, in many ways my mother was quite hippy-dippy, serving macrobiotic food and reading \'Zen and the Art of Motorcycle Maintenance.\'',' Art'
'Deals are my art form. Other people paint beautifully on canvas or write wonderful poetry. I like making deals, preferably big deals. That\'s how I get my kicks.',' Art'
'Art attracts us only by what it reveals of our most secret self.',' Art'
'The strangeness will wear off and I think we will discover the deeper meanings in modern art.',' Art'
'The art of living does not consist in preserving and clinging to a particular mode of happiness, but in allowing happiness to change its form without being disappointed by the change; happiness, like a child, must be allowed to grow up.',' Art'
'I take photographs with love, so I try to make them art objects. But I make them for myself first and foremost - that is important.',' Art'
'The most momentous thing in human life is the art of winning the soul to good or evil.',' Art'
'To curb the machine and limit art to handicraft is a denial of opportunity.',' Art'
'The end of the trial and the \'not guilty\' verdicts on all counts, clearing Michael of all charges, mean that he can now concentrate on the future and his art.',' Art'
'Art cannot result from sophisticated, frivolous, or superficial effects.',' Art'
'Art is the final cunning of the human soul which would rather do anything than face the gods.',' Art'
'I think it is in collaboration that the nature of art is revealed.',' Art'
'I think people should be given a test much like driver\'s tests as to whether they\'re capable of being parents! It\'s an art form. I talk a lot. And I think a lot. And I draw a lot. But never in a million years would I have been a parent. That\'s just work that\'s too hard.',' Art'
'At the beginning of the 20th century, the ambition of the great painters was to make paintings that were like music, which was then considered as the noblest art.',' Art'
'Any excuse to live in New York and do art. Has to be one of the most rewarding experiences in the world.',' Art'
'The distinctions of fine art bore me to death.',' Art'
'Fashion is only the attempt to realize art in living forms and social intercourse.',' Art'
'The terrifying and edible beauty of Art Nouveau architecture.',' Art'
'To say that a work of art is good, but incomprehensible to the majority of men, is the same as saying of some kind of food that it is very good but that most people can\'t eat it.',' Art'
'Photograph: a picture painted by the sun without instruction in art.',' Art'
'The artist is nothing without the gift, but the gift is nothing without work.',' Art'
'Artists who seek perfection in everything are those who cannot attain it in anything.',' Art'
'Art is man\'s expression of his joy in labor.',' Art'
'When I judge art, I take my painting and put it next to a God made object like a tree or flower. If it clashes, it is not art.',' Art'
'Art for art\'s sake is a philosophy of the well-fed.',' Art'
'The arts are an even better barometer of what is happening in our world than the stock market or the debates in congress.',' Art'
'Art is parasitic on life, just as criticism is parasitic on art.',' Art'
'The history of art is the history of revivals.',' Art'
'Abstract art: a product of the untalented sold by the unprincipled to the utterly bewildered.',' Art'
'A great artist is always before his time or behind it.',' Art'
'Every creator painfully experiences the chasm between his inner vision and its ultimate expression.',' Art'
'To make us feel small in the right way is a function of art; men can only make us feel small in the wrong way.',' Art'
'Life is painting a picture, not doing a sum.',' Art'
'Even a true artist does not always produce art.',' Art'
'I cry out for order and find it only in art.',' Art'
'Art begins with resistance - at the point where resistance is overcome. No human masterpiece has ever been created without great labor.',' Art'
'The business of art is to reveal the relation between man and his environment.',' Art'
'Trifles make perfection, and perfection is no trifle.',' Art'
'I have no fear of making changes, destroying the image, etc., because the painting has a life of its own.',' Art'
'The waking mind is the least serviceable in the arts.',' Art'
'Every good painter paints what he is.',' Art'
'So vast is art, so narrow human wit.',' Art'
'Art is science made clear.',' Art'
'To me, photography is the simultaneous recognition, in a fraction of a second, of the significance of an event.',' Art'
'What art offers is space - a certain breathing room for the spirit.',' Art'
'Rules and models destroy genius and art.',' Art'
'Advertising is the greatest art form of the 20th century.',' Art'
'Art produces ugly things which frequently become more beautiful with time. Fashion, on the other hand, produces beautiful things which always become ugly with time.',' Art'
'Art, in itself, is an attempt to bring order out of chaos.',' Art'
'Art is magic delivered from the lie of being truth.',' Art'
'Works of art, in my opinion, are the only objects in the material universe to possess internal order, and that is why, though I don\'t believe that only art matters, I do believe in Art for Art\'s sake.',' Art'
'To send light into the darkness of men\'s hearts - such is the duty of the artist.',' Art'
'My imagination can picture no fairer happiness than to continue living for art.',' Art'
'What makes photography a strange invention is that its primary raw materials are light and time.',' Art'
'The task of art today is to bring chaos into order.',' Art'
'Pictures deface walls more often than they decorate them.',' Art'
'The very essence of the creative is its novelty, and hence we have no standard by which to judge it.',' Art'
'The artist belongs to his work, not the work to the artist.',' Art'
'Art is the right hand of Nature. The latter has only given us being, the former has made us men.',' Art'
'Of all lies, art is the least untrue.',' Art'
'Immature artists imitate. Mature artists steal.',' Art'
'Art is the daughter of freedom.',' Art'
'The moment you cheat for the sake of beauty, you know you\'re an artist.',' Art'
'I don\'t paint things. I only paint the difference between things.',' Art'
'All art is autobiographical. The pearl is the oyster\'s autobiography.',' Art'
'Great art picks up where nature ends.',' Art'
'A sad fact of life lately at the Museum of Modern Art is that when it comes to group shows of contemporary painting from the collection, the bar has been set pretty low.',' Art'
'The alchemy of good curating amounts to this: Sometimes, placing one work of art near another makes one plus one equal three. Two artworks arranged alchemically leave each intact, transform both, and create a third thing.',' Art'
'Everyone goes to the same exhibitions and the same parties, stays in the same handful of hotels, eats at the same no-star restaurants, and has almost the same opinions. I adore the art world, but this is copycat behavior in a sphere that prides itself on independent thinking.',' Art'
'Mission accomplished. The Museum of Modern Art\'s wide-open, tall-ceilinged, super-reinforced second floor was for all intents and purposes built to accommodate monumental installations and gigantic sculptures, should the need arise. It has arisen.',' Art'
'Summer of Love: Art of the Psychedelic Era,\' the Whitney Museum\'s 40th-anniversary trip down counterculture memory lane, provides moments of buzzy fun, but it\'ll leave you only comfortably numb. For starters, it may be the whitest, straightest, most conservative show seen in a New York museum since psychedelia was new',' Art'
'I love to collect modern art.',' Art'
'Those who love him love that he sells the most art; they take it as a point of faith that this proves Kinkade is the best. But his fans don\'t only rely on this supply-and-demand justification. They go back to values.',' Art'
'The reason the art world doesn\'t respond to Kinkade is because none - not one - of his ideas about subject-matter, surface, color, composition, touch, scale, form, or skill is remotely original. They\'re all cliche and already told.',' Art'
'Kinkade\'s paintings are worthless schmaltz, and the lamestream media that love him are wrong. However, I\'d love to see a museum mount a small show of Kinkade\'s work. I would like the art world and the wider world to argue about him in public, out in the open.',' Art'
'Auction houses run a rigged game. They know exactly how many people will be bidding on a work and exactly who they are. In a gallery, works of art need only one person who wants to pay for them.',' Art'
'Artschwager\'s art always involves looking closely at surfaces, questions what an object is, wants to make you forget the name of the thing you\'re looking at so that it might mushroom in your mind into something that triggers unexpected infinities.',' Art'
'Early-twentieth-century abstraction is art\'s version of Einstein\'s Theory of Relativity. It\'s the idea that changed everything everywhere: quickly, decisively, for good.',' Art'
'The Metropolitan Museum of Art is unsurpassed at presenting more than 50 centuries of work. I go there constantly, seeing things over and over, better than I\'ve ever seen them before.',' Art'
'If the Frieze Art Fair catches on, I imagine at least two great things happening. First, we will once again have a huge art fair in town that isn\'t too annoying to go to. More importantly, Frieze may finally show New Yorkers that we can cross our own waters for visual culture. That would change everything.',' Art'
'Art is for anyone. It just isn\'t for everyone. Still, over the past decade, its audience has hugely grown, and that\'s irked those outside the art world, who get irritated at things like incomprehensibility or money.',' Art'
'I often find myself privately stewing about much British art, thinking that except for their tremendous gardens, that the English are not primarily visual artists, and are, in nearly unsurpassable ways, literary.',' Art'
'A metaphysical tour de force of untethered meaning and involuting interlocking contrapuntal rhythms, \'The Clock\' is more than a movie or even a work of art. It is so strange and other-ish that it becomes a stream-of-consciousness algorithm unto itself - something almost inhuman.',' Art'
'I don\'t know much about auctions. I sometimes go to previews and see art sardined into ugly rooms. I\'ve gawked at the gaudy prices, and gaped at well-clad crowds of happy white people conspicuously spending hundreds of millions of dollars.',' Art'
'I love art dealers. In some ways, they\'re my favorite people in the art world. Really. I love that they put their money where their taste is, create their own aesthetic universes, support artists, employ people, and do all of this while letting us see art for free. Many are visionaries.',' Art'
'When museums are built these days, architects, directors, and trustees seem most concerned about social space: places to have parties, eat dinner, wine-and-dine donors. Sure, these are important these days - museums have to bring in money - but they gobble up space and push the art itself far away from the entrance.',' Art'
'I see 30 to 40 gallery shows a week, and no matter what kind of mood I\'m in, no matter how bad the art is, I almost always feel better afterward. I can learn as much from bad art as from good.',' Art'
'Jeffrey Deitch is the Jeff Koons of art dealers. Not because he\'s the biggest, best, or the richest of his kind. But because in some ways he\'s the weirdest (which is saying a lot when you\'re talking about the wonderful, wicked, lovable, and annoying creatures known as art dealers).',' Art'
'Many say an art dealer running a museum is a \'conflict of interest.\' But maybe the art world has lived an artificial or unintentional lie all of these years when it comes to conflicts of interest.',' Art'
'Of course art world ethics are important. But museums are no purer than any other institution or business. Academics aren\'t necessarily more high-minded than gallerists.',' Art'
'We\'re all entitled to opinions about how art institutions should behave, and entitled to voicing those opinions through whatever means available to us. We\'re also allowed to change or modify our opinions.',' Art'
'The art of newspaper paragraphing is to stroke a platitude until it purrs like an epigram.',' Art'
'Dance is the only art of which we ourselves are the stuff of which it is made.',' Art'
'Nothing retains less of desire in art, in science, than this will to industry, booty, possession.',' Art'
'I don\'t like watching people work if they\'re making art.',' Art'
'The basis of art is truth, both in matter and in mode.',' Art'
'Art is one thing that can go on mattering once it has stopped hurting.',' Art'
'Of course the illusion of art is to make one believe that great literature is very close to life, but exactly the opposite is true. Life is amorphous, literature is formal.',' Art'
'I\'m very manipulative towards directors. My theory is that everyone on the set is directing the film, we\'re all receiving art messages from the universe on how we should do the film.',' Art'
'I\'m very much into the costuming of any character that I portray and it\'s one of the great things about making movies is it\'s a collaborative art form so you get all these artists who are looking specifically about for this instance your character\'s costume and what that might tell about your character.',' Art'
'Writing stopped being fun when I discovered the difference between good writing and bad and, even more terrifying, the difference between it and true art. And after that, the whip came down.',' Art'
'It\'s important to debunk the myths of Africa being this benighted continent civilized only when white people arrived. In fact, Africans had been creators of culture for thousands of years before. These were very intelligent, subtle and sophisticated people, with organized societies and great art.',' Art'
'It has taken me years of struggle, hard work and research to learn to make one simple gesture, and I know enough about the art of writing to realize that it would take as many years of concentrated effort to write one simple, beautiful sentence.',' Art'
'Intolerance respecting other people\'s religion is toleration itself in comparison with intolerance respecting other people\'s art.',' Art'
'I am an anarchist in politics and an impressionist in art as well as a symbolist in literature. Not that I understand what these terms mean, but I take them to be all merely synonyms of pessimist.',' Art'
'All good criticism should be judged the way art is. You shouldn\'t read it the way you read history or science.',' Art'
'Only in men\'s imagination does every truth find an effective and undeniable existence. Imagination, not invention, is the supreme master of art as of life.',' Art'
'I think it\'s pretentious to create art just for the sake of stroking the artists ego.',' Art'
'All art is exorcism. I paint dreams and visions too; the dreams and visions of my time. Painting is the effort to produce order; order in yourself. There is much chaos in me, much chaos in our time.',' Art'
'The art of the parenthesis is one of the greatest secrets of eloquence in Society.',' Art'
'Art is the human disposition of sensible or intelligible matter for an esthetic end.',' Art'
'The temple of art is built in words.',' Art'
'Poetry is emotion put into measure. The emotion must come by nature, but the measure can be acquired by art.',' Art'
'Film in the 20th century, it\'s the American art form, like jazz.',' Art'
'There are so many opportunities in life, that the loss of two or three capabilities is not necessarily debilitating. A handicap can give you the opportunity to focus more on art, writing, or music.',' Art'
'The art of living consists in knowing which impulses to obey and which must be made to obey.',' Art'
'It\'s only a few nutcases who do art for themselves, like Van Gogh.',' Art'
'One bites into the brass mouthpiece of his wooden cudgel, and the other blows his cheeks out on a French horn. Do you call that Art?',' Art'
'The only thing approaching art in a movie is the script.',' Art'
'The only thing they can\'t teach you at art school is art.',' Art'
'The Dancer believes that his art has something to say which cannot be expressed in words or in any other way than by dancing.',' Art'
'The art and science of asking questions is the source of all knowledge.',' Art'
'The web of life is a beautiful and meaningless dance. The web of life is a process with a moving goal. The web of life is a perfectly finished work of art right where I am sitting now.',' Art'
'I never studied art, but taught myself to draw by imitating the New Yorker cartoonists of that day, instead of doing my homework.',' Art'
'I think no artist can claim to have any access to the truth, or an authentic version of an event. But obviously they have slightly better means at their disposal because they have their art to energize whatever it is they\'re trying to write about. They have music.',' Art'
'When you are learning about a martial art, it is about respect.',' Art'
'There is in fact no such thing as art for art\'s sake, art that stands above classes, art that is detached from or independent of politics. Proletarian literature and art are part of the whole proletarian revolutionary cause.',' Art'
'The art of effective listening is essential to clear communication, and clear communication is necessary to management success.',' Art'
'In an era ruled by materialism and unstable geopolitics, art must be restored to the center of public education.',' Art'
'If only life could be a little more tender and art a little more robust.',' Art'
'Politics is the art of the possible.',' Art'
'It seems almost backwards to me that my music seems the more emotional outlet, and the art stuff seems more about ideas.',' Art'
'I love fashion. I love couture. I\'m going to erect a shelf in my bedroom with an art light to be the spot for the shoes of the month.',' Art'
'I love prints of skulls and bones and have some taxidermy - a crow and a rabbit - to remind me of home. I like art and have a big portrait of Bjork.',' Art'
'All art is erotic.',' Art'
'Film is a very young art that is still evolving. Soon, we shall reach a balance between content and technology.',' Art'
'I think that is what film and art and music do; they can work as a map of sorts for your feelings.',' Art'
